index,player,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,team,MP,competition
9,Jens Grahl,3,0,0,3,0,0.0,5,62.5,4,0,0,0,0,0,1,Hoffenheim,1,Germany - 1. Bundesliga
10,Koen Casteels,10,0,1,10,1,100.0,38,79.16666666666666,27,1,0,3,2,1,4,Wolfsburg,13,Germany - 1. Bundesliga
11,Loris Karius,41,3,2,38,5,40.0,115,75.16339869281046,88,7,0,1,5,1,13,FSV Mainz 05,34,Germany - 1. Bundesliga
12,Lukáš Hrádecký,52,3,1,49,4,25.0,120,71.00591715976331,71,6,0,8,13,9,13,Eintracht Frankfurt,34,Germany - 1. Bundesliga
13,Manuel Neuer,15,1,0,14,1,0.0,60,81.08108108108108,46,2,0,3,2,2,5,Bayern Munich,34,Germany - 1. Bundesliga
14,Marwin Hitz,48,5,1,43,6,16.666666666666664,124,74.25149700598801,92,2,0,2,13,1,14,Augsburg,33,Germany - 1. Bundesliga
15,Mitchell James Langerak,6,0,0,6,0,0.0,12,66.66666666666666,4,1,0,1,5,0,1,VfB Stuttgart,2,Germany - 1. Bundesliga
16,Odisseas Vlachodimos,7,1,0,6,1,0.0,5,45.45454545454545,5,0,0,0,0,0,0,VfB Stuttgart,3,Germany - 1. Bundesliga
17,Oliver Baumann,48,2,0,46,2,0.0,146,76.04166666666666,106,2,2,7,12,2,15,Hoffenheim,33,Germany - 1. Bundesliga
18,Przemysław Tytoń,55,3,1,52,4,25.0,114,68.67469879518072,76,3,0,4,5,10,16,VfB Stuttgart,30,Germany - 1. Bundesliga
19,Ralf Fährmann,47,2,1,45,3,33.33333333333333,110,70.96774193548387,70,3,3,3,10,5,16,Schalke 04,34,Germany - 1. Bundesliga
20,Ramazan Özcan,29,2,0,27,2,0.0,59,68.6046511627907,36,3,0,4,10,1,5,Ingolstadt,28,Germany - 1. Bundesliga
21,René Adler,31,3,0,28,3,0.0,81,74.31192660550458,49,1,2,6,13,3,7,Hamburger SV,24,Germany - 1. Bundesliga
22,Roman Bürki,33,4,0,29,4,0.0,70,70.70707070707071,53,0,0,4,5,2,6,Borussia Dortmund,33,Germany - 1. Bundesliga
23,Ron-Robert Zieler,61,7,0,54,7,0.0,143,72.58883248730965,103,2,0,7,14,6,11,Hannover 96,34,Germany - 1. Bundesliga
24,Rune Almenning Jarstein,35,4,0,31,4,0.0,86,73.50427350427351,64,2,0,2,4,3,11,Hertha Berlin,29,Germany - 1. Bundesliga
25,Sven Ulreich,1,0,0,1,0,0.0,2,66.66666666666666,1,0,0,0,0,0,1,Bayern Munich,1,Germany - 1. Bundesliga
26,Thomas Kessler,2,0,0,2,0,0.0,3,60.0,2,0,0,0,0,0,1,FC Köln,1,Germany - 1. Bundesliga
27,Thomas Kraft,7,0,0,7,0,0.0,14,66.66666666666666,12,1,0,0,0,1,0,Hertha Berlin,6,Germany - 1. Bundesliga
28,Timo Horn,40,3,1,37,4,25.0,115,75.6578947368421,81,1,0,3,17,7,6,FC Köln,33,Germany - 1. Bundesliga
29,Tom Mickel,1,0,0,1,0,0.0,6,85.71428571428571,4,1,0,0,0,0,1,Hamburger SV,1,Germany - 1. Bundesliga
30,Yann Sommer,47,7,0,40,7,0.0,97,70.8029197080292,76,2,1,4,3,2,9,Borussia Mönchengladbach,32,Germany - 1. Bundesliga
31,Ørjan Håskjold Nyland,13,1,1,12,2,50.0,14,53.84615384615385,9,0,0,0,1,1,3,Ingolstadt,6,Germany - 1. Bundesliga
32,Łukasz Załuska,2,0,0,2,0,0.0,1,33.33333333333333,0,0,0,0,0,0,1,Darmstadt 98,1,Germany - 1. Bundesliga
0,Albano Benjamín Bizzarri,41,2,2,39,4,50.0,118,75.15923566878982,86,2,0,4,8,2,16,Chievo,35,Italy - Serie A
1,Alberto Brignoli,5,1,0,4,1,0.0,7,63.63636363636363,5,0,0,1,1,0,0,Sampdoria,1,Italy - Serie A
2,Alberto Pelagotti,5,1,0,4,1,0.0,26,86.66666666666667,20,1,0,1,1,0,3,Empoli,6,Italy - Serie A
3,Andrea Consigli,37,2,2,35,4,50.0,101,74.26470588235294,78,0,0,3,5,8,7,Sassuolo,37,Italy - Serie A
4,Andrea Seculin,2,0,0,2,0,0.0,13,86.66666666666667,10,0,0,0,0,2,1,Chievo,3,Italy - Serie A
5,Angelo Esmael da Costa Júnior,4,1,0,3,1,0.0,12,80.0,10,0,0,0,1,0,1,Bologna,5,Italy - Serie A
6,Anton Ciprian Tătărușanu,39,0,0,39,0,0.0,67,63.20754716981132,52,2,0,5,4,1,3,Fiorentina,37,Italy - Serie A
